ticker,strategy,total_return,buy_hold_return,avg_window_return,avg_sharpe,consistency,num_windows,winning_windows,beats_buy_hold,final_value,return_zscore,sharpe_zscore,composite_score
AON,rsi_classic,108.88925556090828,11.818937292421497,0.0183700281716902,0.8036145698919208,0.4801324503311258,302,145,True,1098892.5556090828,-0.1594290312213122,1.3324274203861355,0.5439524968818973
APH,rsi_classic,167.2200968038555,97.35490376960053,0.0212721625884927,0.7582982845859407,0.4914089347079037,291,143,True,1682200.968038555,-0.04789095296540487,1.067684060604989,0.5025015061750367
AZO,rsi_classic,407.67724247314015,120.75009300595238,0.0221252790558837,0.6596474532176464,0.5217391304347826,299,156,True,4086772.424731401,0.41190231178706593,0.49135366712061784,0.47967244584621815
AAPL,rsi_classic,153.3740540986117,296.0294920228816,0.0215773264381506,0.7515270490066778,0.48,300,144,False,1543740.5409861172,-0.07436684396721426,1.0281256624481316,0.4781276455442752
AKAM,rsi_classic,252.97244434774328,0.6082993072717369,0.0295393209230704,0.6585873696154371,0.4581939799331103,299,137,True,2539724.4434774327,0.11608151592358748,0.4851605272239379,0.3636502049175017
AMP,rsi_classic,94.09785439829344,12.999389788135884,0.0243535482560857,0.7133559777329591,0.4188034188034188,234,98,True,950978.5439829346,-0.18771260171738713,0.8051255293344778,0.35274524580649474
ADBE,rsi_classic,133.18005568095128,13.893621195729285,0.0223211510204326,0.6836627131037811,0.4437086092715231,302,134,True,1341800.556809513,-0.11298106121169835,0.6316537942237918,0.3330852636122372
ADSK,rsi_classic,219.69452230910068,24.4455621325409,0.0236022242101629,0.6479023993448069,0.4701986754966887,302,142,True,2206945.2230910067,0.05244870361627502,0.4227376055411889,0.33063536294591467
AMT,rsi_classic,141.28309658895816,3.559442712870209,0.0215738463780205,0.6683142548066182,0.4867549668874172,302,147,True,1422830.9658895817,-0.09748672593983447,0.5419861970318502,0.3280518280825716
ANET,rsi_classic,36.11223207032534,32.00091580687458,0.0355208325023147,0.7060576636494742,0.4488188976377952,127,57,True,371122.3207032534,-0.29859056512609056,0.7624878731772359,0.31869675147046167
AVY,rsi_classic,88.9515012280994,1.3963100531884225,0.0174536256607408,0.654195040400725,0.4735099337748344,302,143,True,899515.0122809941,-0.19755326799954953,0.4594999951278899,0.2679879916484359
AIZ,rsi_classic,12.350295163502569,9.343911086227898,0.0137936201857781,0.6668957093097699,0.466403162055336,253,118,True,133502.95163502567,-0.3440272624503484,0.5336988782831427,0.24346274957197267
AOS,rsi_classic,134.24973899709204,18.05417574588672,0.0194075481086598,0.6089221705685397,0.4337748344370861,302,131,True,1352497.3899709205,-0.11093565231852262,0.19501027392990036,0.19873232025824777
ALB,rsi_classic,97.31576293146809,13.951418549956747,0.0215385810804612,0.583749715629926,0.4594594594594595,296,136,True,983157.6293146808,-0.18155943597957971,0.04794966979188472,0.1437008539274753
AJG,rsi_classic,33.186940395083305,16.084279614825583,0.0138388143999785,0.5986817134277018,0.4646464646464646,297,138,True,341869.4039508331,-0.30418419972559074,0.1351842530887242,0.13515860186752587
ACN,rsi_classic,16.049405851730462,7.413793290220892,0.0124217941029582,0.6078558063547087,0.4381625441696113,283,124,True,170494.05851730463,-0.33695395974068265,0.1887804419210807,0.13081296232196393
ABT,rsi_classic,22.64499659035448,5.207697633001633,0.0122142734570049,0.5821882323606002,0.4503311258278146,302,136,True,236449.9659035448,-0.32434211495544163,0.03882729084638933,0.09447800309841016
AFL,rsi_classic,1.9370958941043903,9.633208745503596,0.0088334221037574,0.5874449697585673,0.3966666666666666,300,119,False,29370.958941043904,-0.3639389971391555,0.06953780277004315,0.07034630835593295
APD,rsi_classic,24.326537202300536,9.697977277192624,0.0130543754241803,0.5708732566719751,0.4172185430463576,302,126,True,253265.37202300536,-0.32112673516030793,-0.027276200634041216,0.062366536480238315
AXP,rsi_classic,33.251548730775134,5.625744669977122,0.0152940145597245,0.5571500592254252,0.4217687074829932,294,124,True,342515.4873077513,-0.3040606580545155,-0.1074488223396477,0.04525463887494834
AEE,rsi_classic,22.575824533027923,2.4714779551793424,0.0119641700716904,0.5559896691558246,0.4172185430463576,302,126,True,235758.24533027923,-0.3244743832063156,-0.11422796506082282,0.035276712738401536
ADI,rsi_classic,63.80248580620078,5.32449226583389,0.0177532502934067,0.5342811613349867,0.4054054054054054,296,120,True,648024.8580620078,-0.245642285582952,-0.24105176046943488,0.01615394834644611
ARES,rsi_classic,1.9599441577721,4.858420924136513,0.0146863467711986,0.5351551350847116,0.4538461538461538,130,59,False,29599.441577721,-0.36389530753402255,-0.23594589741600067,0.0015861000534545672
APO,rsi_classic,1.7055655511796772,5.507700526545718,0.0100245203529523,0.5540646011167606,0.3433734939759036,166,57,False,27055.655511796773,-0.364381720901705,-0.12547445133011667,-0.009607454079185063
APA,rsi_classic,0.4379869875710357,1.0612793901937114,0.0163447792527486,0.5312536025554797,0.4370860927152318,302,132,False,14379.869875710358,-0.3668055377713166,-0.25873913439714336,-0.012828964564445239
ABNB,rsi_classic,1.363681809190205,-0.0445349400992957,0.0208879744593247,0.528490562633762,0.4313725490196078,51,22,True,23636.81809190205,-0.3650354583544124,-0.27488115634677657,-0.01942596480251356
ALL,rsi_classic,15.796545948917348,8.538328762003033,0.0115852985270503,0.521587437156932,0.4252491694352159,301,128,True,167965.45948917346,-0.3374374690991416,-0.3152100716448193,-0.025694594449101896
ATO,rsi_classic,21.80326885071591,8.844000244140625,0.0113231113559478,0.5086074660258749,0.4006622516556291,302,121,True,228032.6885071591,-0.3259516356222694,-0.3910406730256625,-0.054832791932127936
AWK,rsi_classic,7.635152335771686,5.077598344086581,0.0118612495207585,0.5040021546275149,0.400990099009901,202,81,True,86351.52335771685,-0.35304338425659476,-0.4179454734568523,-0.07090061771007368
AEP,rsi_classic,9.738619967745343,3.0286569168318564,0.0099969484579734,0.5028028996385144,0.4019933554817276,301,121,True,107386.19967745343,-0.34902121121152124,-0.4249516698579588,-0.07139452212815298
AIG,rsi_classic,-0.928094909494112,-0.9464455082933404,0.0052632680032819,0.4828389163279523,0.4635761589403973,302,140,True,719.0509050588792,-0.3694177090737021,-0.5415837366870438,-0.08786997015206484
